6039,44735,Aythami Artiles Oliva,0.0313386,0.0443662,5554
64244,303140,Mauricio Lemos Merladet,-0.0375489,-0.0355391,6057
31230,64363,Daniel Castellano Betancor,-0.0469625,-0.0242056,2460
31784,223068,Pedro Taunausu Dominguez Placeres,-0.00579679,0.0032318,1231
9194,95438,Marko Livaja,0.0434558,0.0482971,4443
2915,16922,Kevin-Prince Boateng,0.0880791,0.100964,8151
6558,203043,Pedro Bigas Rigo,0.00766841,0.0211824,7886
31873,228584,David Simon,-0.0444277,-0.0315542,4249
31431,153236,Vicente Gomez,-0.0159711,0.00202535,3116
31565,202984,Roque Mesa Quevedo,-0.0368253,-0.0226146,3140
6659,153238,Jonathan Viera Ramos,0.0169769,0.03228,5906
31637,110366,Sergio Ezequiel Araujo,0.0513339,0.05444,8083
6862,96540,Alfredo Ortuno,0.00467709,0.0106369,6182
6623,184767,Ximo Navarro,-0.0157944,-0.00174205,7126
3522,45121,Loïc Remy,0.0886336,0.102201,8009
7230,30929,Gabriel Penalba,0.0139471,0.0267265,315
2987,5957,Alberto Aquilani,0.131241,0.146133,6675
20537,216463,Imoh Ezekiel,0.105126,0.109943,8508
6711,199321,Ruben Blanco,0.00714448,0.00836695,9223
45095,297194,Ivan Villar,-0.0382461,-0.0377074,9268
41186,64134,Nestor Alejandro Araujo Razo,0.0735908,0.0758937,276
31582,164055,David Junca,0.0403563,0.0442173,7871
6616,119905,Hugo Mallo Novegil,0.0886627,0.0902148,13872
21519,192735,Stanislav Lobotka,0.0887936,0.0896643,12011
6946,207924,Jozabed Sanchez,-0.00116605,0.00314056,8406
45580,309110,Brais Mendez Portela,0.0175994,0.0181036,9116
12386,167798,Andrew Hjulsager,0.0423038,0.0441393,8271
73321,396894,Maximiliano Gomez Gonzalez,0.0257467,0.0268283,8047
6264,61546,Facundo Roncaglia,0.0300181,0.0405023,4011
64804,216240,Lucas Rene Olaza Catrofe,-0.00819931,-0.00734312,3443
20411,181619,Robert Mazan,0.020917,0.0225535,2042
43726,221315,Kevin Vazquez,-0.062581,-0.059594,8660
30517,137616,Okay Yokuslu,0.0184227,0.018799,9324
70208,423444,Francisco Jose Beltran Peinado,0.0115562,0.0358664,9330
12365,252641,Pione Sisto,0.119631,0.120569,13901
65816,283223,Emre Mor,0.0239757,0.0255037,4195
7795,58818,Claudio Beauvue,-0.00710039,0.0102496,7470
