31451,65263,Jordi Masip,1989,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0,30.06.2009,NA,NA,0
6254,51667,Kiko,1988,30.06.2006,NA,NA,0,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0
6867,207922,Luismi,1992,30.06.2010,NA,NA,0,30.06.2011,NA,NA,0,30.06.2012,NA,NA,0
31958,288453,Antonio Dominguez,1993,30.06.2011,NA,NA,0,30.06.2012,NA,NA,0,30.06.2013,NA,NA,0
42686,256429,Sergio Guardiola Navarro,1991,30.06.2009,NA,NA,0,30.06.2010,NA,NA,0,30.06.2011,-0.165078,-0.0784497,886
2852,42920,Fran Merida,1990,30.06.2008,NA,NA,0,30.06.2009,0.0518209,0.155381,20,30.06.2010,0.0526986,0.12303,391
31377,145769,Sergio Leon,1989,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0,30.06.2009,NA,NA,0
775,137648,Sverrir Ingi Ingason,1993,30.06.2011,NA,NA,0,30.06.2012,-0.167549,-0.0325517,727,30.06.2013,-0.120313,-0.0230751,2803
6790,170472,Dimitri Foulquier,1993,30.06.2011,NA,NA,0,30.06.2012,-0.0418169,0.0809026,226,30.06.2013,-0.0283849,0.0573667,1028
8984,73092,Rene Krhin,1990,30.06.2008,NA,NA,0,30.06.2009,NA,NA,0,30.06.2010,0.0564372,0.130754,74
16663,42714,Mehdi Carcela-Gonzalez,1989,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0,30.06.2009,0.0249321,0.0887275,42
7635,129893,Molla Wague,1991,30.06.2009,NA,NA,0,30.06.2010,NA,NA,0,30.06.2011,NA,NA,0
7704,93759,Matthieu Saunier,1990,30.06.2008,NA,NA,0,30.06.2009,NA,NA,0,30.06.2010,-0.111876,-0.0428221,2124
6552,63689,Fran Rico,1987,30.06.2005,NA,NA,0,30.06.2006,NA,NA,0,30.06.2007,NA,NA,0
41939,294568,Omer Atzili,1993,30.06.2011,NA,NA,0,30.06.2012,NA,NA,0,30.06.2013,NA,NA,0
6990,113045,Ruben Perez,1989,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0,30.06.2009,NA,NA,0
6871,133794,Edgar Mendez,1991,30.06.2009,NA,NA,0,30.06.2010,NA,NA,0,30.06.2011,-0.0999991,-0.0151798,1163
6795,185245,Jhon Cordoba,1993,30.06.2011,NA,NA,0,30.06.2012,NA,NA,0,30.06.2013,NA,NA,0
39130,226006,Emanuel Insua,1991,30.06.2009,NA,NA,0,30.06.2010,NA,NA,0,30.06.2011,NA,NA,0
31230,64363,Daniel Castellano Betancor,1987,30.06.2005,NA,NA,0,30.06.2006,NA,NA,0,30.06.2007,NA,NA,0
31784,223068,Pedro Taunausu Dominguez Placeres,1990,30.06.2008,NA,NA,0,30.06.2009,NA,NA,0,30.06.2010,NA,NA,0
9194,95438,Marko Livaja,1993,30.06.2011,NA,NA,0,30.06.2012,-0.0661879,0.0703816,52,30.06.2013,-0.000369513,0.0996571,1043
2915,16922,Kevin-Prince Boateng,1987,30.06.2005,NA,NA,0,30.06.2006,0.00904859,0.107397,1871,30.06.2007,0.0157302,0.0939081,3370
6558,203043,Pedro Bigas Rigo,1990,30.06.2008,NA,NA,0,30.06.2009,NA,NA,0,30.06.2010,NA,NA,0
31873,228584,David Simon,1989,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0,30.06.2009,NA,NA,0
31431,153236,Vicente Gomez,1988,30.06.2006,NA,NA,0,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0
31565,202984,Roque Mesa Quevedo,1989,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0,30.06.2009,NA,NA,0
6659,153238,Jonathan Viera Ramos,1989,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0,30.06.2009,NA,NA,0
31637,110366,Sergio Ezequiel Araujo,1992,30.06.2010,-0.0459891,0.0891712,4,30.06.2011,-0.0390207,0.0707526,474,30.06.2012,-0.0264292,0.0593567,646
6862,96540,Alfredo Ortuno,1991,30.06.2009,-0.0923294,0.0546943,35,30.06.2010,-0.0548423,0.0466566,35,30.06.2011,-0.0619045,0.01674,610
6623,184767,Ximo Navarro,1990,30.06.2008,NA,NA,0,30.06.2009,NA,NA,0,30.06.2010,NA,NA,0
3522,45121,Loïc Remy,1987,30.06.2005,NA,NA,0,30.06.2006,NA,NA,0,30.06.2007,0.0911773,0.162623,10
20537,216463,Imoh Ezekiel,1993,30.06.2011,NA,NA,0,30.06.2012,-0.0598674,0.0811183,261,30.06.2013,0.0147759,0.122637,2539
41186,64134,Nestor Alejandro Araujo Razo,1991,30.06.2009,NA,NA,0,30.06.2010,NA,NA,0,30.06.2011,NA,NA,0
31582,164055,David Junca,1993,30.06.2011,NA,NA,0,30.06.2012,-0.0837722,0.0589351,508,30.06.2013,-0.0513762,0.0595385,1190
6616,119905,Hugo Mallo Novegil,1991,30.06.2009,NA,NA,0,30.06.2010,-0.0608403,0.0593432,1701,30.06.2011,-0.0226163,0.0655087,4246
6946,207924,Jozabed Sanchez,1991,30.06.2009,NA,NA,0,30.06.2010,NA,NA,0,30.06.2011,NA,NA,0
6264,61546,Facundo Roncaglia,1987,30.06.2005,NA,NA,0,30.06.2006,NA,NA,0,30.06.2007,NA,NA,0
43726,221315,Kevin Vazquez,1993,30.06.2011,NA,NA,0,30.06.2012,-0.152729,-0.0300097,90,30.06.2013,-0.116109,-0.0303571,90
7795,58818,Claudio Beauvue,1988,30.06.2006,NA,NA,0,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0
3558,72047,Iago Aspas Juncal,1987,30.06.2005,NA,NA,0,30.06.2006,NA,NA,0,30.06.2007,NA,NA,0
6288,65237,Andreu Fontas,1989,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0,30.06.2009,NA,NA,0
7630,63463,Daniel Wass,1989,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0,30.06.2009,0.00966142,0.0723951,453
45621,230222,Alvaro Lemos,1993,30.06.2011,NA,NA,0,30.06.2012,NA,NA,0,30.06.2013,NA,NA,0
2108,98596,John Alberto Guidetti,1992,30.06.2010,-0.114707,0.0255176,684,30.06.2011,-0.0886001,0.0288668,966,30.06.2012,-0.0026123,0.0888363,3197
6927,92947,Sergi Gomez,1992,30.06.2010,NA,NA,0,30.06.2011,-0.035647,0.0918479,826,30.06.2012,0.0149651,0.114689,2523
6889,168959,Nemanja Radoja,1993,30.06.2011,NA,NA,0,30.06.2012,NA,NA,0,30.06.2013,NA,NA,0
6488,64598,Bernardo Espinosa,1989,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0,30.06.2009,-0.147431,-0.082019,879
6781,262939,Johan Mojica,1992,30.06.2010,NA,NA,0,30.06.2011,NA,NA,0,30.06.2012,NA,NA,0
6483,158795,David Timor,1989,30.06.2007,NA,NA,0,30.06.2008,NA,NA,0,30.06.2009,NA,NA,0
31542,131275,Choco Lozano,1993,30.06.2011,NA,NA,0,30.06.2012,-0.0876248,0.0382832,1166,30.06.2013,-0.120283,-0.0322767,2748
3666,74228,Marc Muniesa,1992,30.06.2010,0.0256892,0.164665,31,30.06.2011,-0.00306252,0.112506,2191,30.06.2012,0.0198547,0.109906,4522
6887,66099,Carles Planas Antolinez,1991,30.06.2009,NA,NA,0,30.06.2010,NA,NA,0,30.06.2011,0.00235968,0.0836238,1412
31682,242497,Pere Pons Riera,1993,30.06.2011,NA,NA,0,30.06.2012,NA,NA,0,30.06.2013,-0.0193436,0.0642895,387
