player_id,player_name,player_role,birth,height,foot,value,league,value_at,nat1,nat2
129679,Cheick DoukourÃ©,Defensive Midfield,1992-09-11,1.8,right,1.35,SPA1,2018-06-30,Coted'Ivoire,France
120095,JosÃ© CampaÃ±a,Central Midfield,1993-05-31,1.79,right,4.5,SPA1,2018-06-30,Spain,-
282371,Ivi,Right Winger,1994-06-29,1.74,right,1.8,SPA1,2018-06-30,Spain,-
208890,Samu GarcÃ­a,Right Winger,1990-07-13,1.77,right,0.9,SPA1,2018-06-30,Spain,-
252677,JosÃ© Luis Morales,Centre-Forward,1987-07-23,1.8,right,4.5,SPA1,2018-06-30,Spain,-
332612,Emmanuel Boateng,Centre-Forward,1996-05-23,1.75,right,1.8,SPA1,2018-06-30,Ghana,-
140082,Armando Sadiku,Centre-Forward,1991-05-27,1.85,right,0.72,SPA1,2018-06-30,Albania,-
25412,Pedro LÃ³pez,Right-Back,1983-11-01,1.74,right,1.8,SPA1,2011-06-30,Spain,-
54217,RaÃºl FernÃ¡ndez,Goalkeeper,1988-03-13,1.95,right,1.35,SPA1,2017-06-30,Spain,-
8176,Oier OlazÃ¡bal,Goalkeeper,1989-09-14,1.89,left,0.72,SPA1,2017-06-30,Spain,-
158791,Sergio Postigo,Centre-Back,1988-11-04,1.85,right,1.35,SPA1,2017-06-30,Spain,-
125931,ToÃ±o,Left-Back,1989-11-07,1.8,left,1.35,SPA1,2017-06-30,Spain,-
25412,Pedro LÃ³pez,Right-Back,1983-11-01,1.74,right,0.45,SPA1,2017-06-30,Spain,-
262980,Jefferson Lerma,Defensive Midfield,1994-10-25,1.79,right,1.35,SPA1,2017-06-30,Colombia,-
120095,JosÃ© CampaÃ±a,Central Midfield,1993-05-31,1.79,right,2.25,SPA1,2017-06-30,Spain,-
26199,Verza,Central Midfield,1986-09-29,1.81,right,1.08,SPA1,2017-06-30,Spain,-
208890,Samu GarcÃ­a,Right Winger,1990-07-13,1.77,right,1.8,SPA1,2017-06-30,Spain,-
263860,Jason,Right Winger,1994-07-06,1.78,right,0.9,SPA1,2017-06-30,Spain,-
212391,Roger MartÃ­,Centre-Forward,1991-01-03,1.79,right,2.25,SPA1,2017-06-30,Spain,-
252677,JosÃ© Luis Morales,Centre-Forward,1987-07-23,1.8,right,1.8,SPA1,2017-06-30,Spain,-
332612,Emmanuel Boateng,Centre-Forward,1996-05-23,1.75,right,1.35,SPA1,2017-06-30,Ghana,-
49347,Mitchell Langerak,Goalkeeper,1988-08-22,1.93,right,1.35,SPA1,2017-06-30,Australia,-
248330,Chema,Centre-Back,1992-03-03,1.89,left,1.35,SPA1,2017-06-30,Spain,-
126516,Antonio Luna,Left-Back,1991-03-17,1.78,left,1.8,SPA1,2017-06-30,Spain,-
203778,IvÃ¡n LÃ³pez,Right-Back,1993-08-23,1.75,right,0.72,SPA1,2017-06-30,Spain,-
129679,Cheick DoukourÃ©,Defensive Midfield,1992-09-11,1.8,right,1.13,SPA1,2017-06-30,Coted'Ivoire,France
245014,Enis Bardhi,Central Midfield,1995-07-02,1.72,right,0.63,SPA1,2017-06-30,NorthMacedonia,-
282371,Ivi,Right Winger,1994-06-29,1.74,right,1.35,SPA1,2017-06-30,Spain,-
